Repository,Type,#,User,Title,State,Created,Updated,URL
verygoodsecurity/vault,Issue,2409,mjallday,Secure Debugger Read Capacity Exceeded,open,03/08/18 15:27:49,03/09/18 04:49:13,https://github.com/verygoodsecurity/vault/issues/2409
verygoodsecurity/vault,Issue,2408,mjallday,Secure Debugger Write Capacity Exceeded,open,03/08/18 15:25:41,03/08/18 15:30:02,https://github.com/verygoodsecurity/vault/issues/2408
verygoodsecurity/vault,Issue,2379,mjallday,Rule Entries Fire Out of Order,open,02/16/18 18:51:12,02/20/18 05:43:34,https://github.com/verygoodsecurity/vault/issues/2379
verygoodsecurity/vault,Issue,2348,zdmytriv,Change reverse proxy behaviour on invalid payload,open,02/03/18 03:00:44,05/31/18 13:07:52,https://github.com/verygoodsecurity/vault/issues/2348
verygoodsecurity/vault,Issue,2346,mjallday,500 On Vault Not Found,open,02/02/18 16:07:19,02/02/18 16:07:19,https://github.com/verygoodsecurity/vault/issues/2346
verygoodsecurity/vault,Issue,2345,gjyoung1974,SQL DeadLocks,open,02/02/18 15:00:05,02/02/18 17:17:52,https://github.com/verygoodsecurity/vault/issues/2345
verygoodsecurity/vault,Issue,2303,zdmytriv,SAXParseException: The markup in the document following the root element must be well-formed,open,01/04/18 16:10:06,01/04/18 16:10:06,https://github.com/verygoodsecurity/vault/issues/2303
verygoodsecurity/vault,Issue,2302,zdmytriv,Backfill values for tokens with empty public_token field,open,01/03/18 12:18:37,01/12/18 07:04:47,https://github.com/verygoodsecurity/vault/issues/2302
verygoodsecurity/vault,Issue,2300,mjallday,Configure Logging Output for JSON by Default,open,01/02/18 09:30:44,01/02/18 09:30:44,https://github.com/verygoodsecurity/vault/issues/2300
verygoodsecurity/vault,Issue,2298,igor-dmitriev,Spring test context caching is broken,open,12/29/17 09:50:21,12/29/17 09:52:36,https://github.com/verygoodsecurity/vault/issues/2298
verygoodsecurity/vault,Issue,2297,igor-dmitriev,Change Service tests to use mock repositories instead of real ones,open,12/29/17 09:37:58,12/29/17 09:37:58,https://github.com/verygoodsecurity/vault/issues/2297
verygoodsecurity/vault,Issue,2295,max-lobur,Store temp sftp uploads at /var/run/vault-sftp/buffer/,open,12/29/17 00:49:35,12/29/17 00:49:35,https://github.com/verygoodsecurity/vault/issues/2295
verygoodsecurity/vault,Issue,2293,viacheslav-fomin-main,Requested size 16 is shorter than existing length 17,open,12/27/17 10:27:31,04/23/18 01:07:25,https://github.com/verygoodsecurity/vault/issues/2293
verygoodsecurity/vault,Issue,2289,k-sever,Return 403 error if retrieved token has is excluded by classifier,open,12/22/17 06:30:25,12/22/17 07:03:04,https://github.com/verygoodsecurity/vault/issues/2289
verygoodsecurity/vault,Issue,2284,k-sever,Token usage metric log missing,open,12/19/17 14:47:55,12/19/17 14:47:55,https://github.com/verygoodsecurity/vault/issues/2284
verygoodsecurity/vault,Issue,2283,viacheslav-fomin-main,Could not find tenant preferences error,open,12/19/17 13:43:42,12/20/17 09:53:42,https://github.com/verygoodsecurity/vault/issues/2283
verygoodsecurity/vault,Issue,2282,zdmytriv,"Missing tenant, user and trace information in logs",open,12/19/17 09:49:38,12/19/17 14:40:15,https://github.com/verygoodsecurity/vault/issues/2282
verygoodsecurity/vault,Issue,2279,yyunikov,Reduce volatile storage check time to 5 seconds in smoke tests,open,12/18/17 08:41:59,12/18/17 08:41:59,https://github.com/verygoodsecurity/vault/issues/2279
verygoodsecurity/vault,Issue,2278,yyunikov,Reveal performance issues,open,12/18/17 08:36:09,01/08/18 11:54:46,https://github.com/verygoodsecurity/vault/issues/2278
verygoodsecurity/vault,Issue,2276,igor-dmitriev,Improve processing performance of huge data,open,12/18/17 07:11:39,03/21/18 14:01:16,https://github.com/verygoodsecurity/vault/issues/2276
verygoodsecurity/vault,Issue,2273,mjallday,Investigate SFTP Error Message,open,12/17/17 21:15:16,12/17/17 21:15:16,https://github.com/verygoodsecurity/vault/issues/2273
verygoodsecurity/vault,Issue,2271,k-sever,Logging filter should not mask UUIDs,open,12/15/17 11:29:46,12/15/17 11:29:46,https://github.com/verygoodsecurity/vault/issues/2271
verygoodsecurity/vault,Issue,2266,k-sever,Add env variables to set creds for tenant provisioner,open,12/13/17 16:01:27,12/27/17 10:54:11,https://github.com/verygoodsecurity/vault/issues/2266
verygoodsecurity/vault,Issue,2263,yyunikov,Send email when any user is added to organization,open,12/13/17 04:53:40,02/13/18 13:37:15,https://github.com/verygoodsecurity/vault/issues/2263
verygoodsecurity/vault,Issue,2262,yyunikov,Customize reset password email template for adding new user to the organization,open,12/13/17 04:35:53,02/13/18 13:37:15,https://github.com/verygoodsecurity/vault/issues/2262
verygoodsecurity/vault,Issue,2257,k-sever,Failed BasicAuth chained proxy requests produce log without tenant/trace context,open,12/12/17 08:42:30,12/12/17 08:42:30,https://github.com/verygoodsecurity/vault/issues/2257
verygoodsecurity/vault,Issue,2253,zdmytriv,Add support for tags in VOLATILE storage,open,12/11/17 09:01:30,12/11/17 09:01:30,https://github.com/verygoodsecurity/vault/issues/2253
verygoodsecurity/vault,Issue,2239,yuriyshafranyuk1,Remove production genpop deployment,open,12/06/17 08:41:12,12/06/17 08:41:12,https://github.com/verygoodsecurity/vault/issues/2239
verygoodsecurity/vault,Issue,2227,zdmytriv,Data Classification,open,12/04/17 07:10:29,12/04/17 07:10:33,https://github.com/verygoodsecurity/vault/issues/2227
verygoodsecurity/vault,Issue,2221,zdmytriv,BCrypt truncates everything beyond 72 characters,open,11/30/17 17:12:05,02/28/18 11:14:29,https://github.com/verygoodsecurity/vault/issues/2221
verygoodsecurity/vault,Issue,2205,igor-dmitriev,Implement rule chain route matching for SFTP proxy,open,11/28/17 08:32:25,11/28/17 09:41:14,https://github.com/verygoodsecurity/vault/issues/2205
verygoodsecurity/vault,Issue,2204,zdmytriv,PathNotFoundException: Expected to find an object with property ['vehicles'],open,11/27/17 16:08:18,02/19/18 11:34:24,https://github.com/verygoodsecurity/vault/issues/2204
verygoodsecurity/vault,Issue,2201,zdmytriv,SAXParseException: XML document structures must start and end within the same entity.,open,11/26/17 12:10:15,11/26/17 12:10:15,https://github.com/verygoodsecurity/vault/issues/2201
verygoodsecurity/vault,Issue,2200,yuriyshafranyuk1,Investigate pdfbox error without stacktrace,open,11/24/17 10:37:23,11/24/17 10:38:18,https://github.com/verygoodsecurity/vault/issues/2200
verygoodsecurity/vault,Issue,2197,nikolay-popov,Forward proxy does not set Proxy-Authorization header for plain HTTP requests routed through dynamic proxy,open,11/24/17 07:17:31,12/08/17 14:34:22,https://github.com/verygoodsecurity/vault/issues/2197
verygoodsecurity/vault,Issue,2196,zdmytriv,Rollbar: java.net.SocketTimeoutException: Read timed out,open,11/23/17 13:39:13,01/31/18 10:16:58,https://github.com/verygoodsecurity/vault/issues/2196
verygoodsecurity/vault,Issue,2190,yuriyshafranyuk1,Sftp proxy - no temp file ,open,11/22/17 08:19:04,11/23/17 11:41:46,https://github.com/verygoodsecurity/vault/issues/2190
verygoodsecurity/vault,Issue,2188,k-sever, java.security.cert.CertificateExpiredException http proxy error,open,11/22/17 07:24:56,11/22/17 07:24:56,https://github.com/verygoodsecurity/vault/issues/2188
verygoodsecurity/vault,Issue,2187,yuriyshafranyuk1,Input is not in the GZIP format,open,11/22/17 04:51:29,12/25/17 05:25:26,https://github.com/verygoodsecurity/vault/issues/2187
verygoodsecurity/vault,Issue,2186,akhon,Update Logs and Debugging Running Applications doc,open,11/22/17 00:39:57,11/22/17 00:40:39,https://github.com/verygoodsecurity/vault/issues/2186
verygoodsecurity/vault,Issue,2177,zdmytriv,Investigate why migration failed for tenants on dev,open,11/20/17 05:30:33,11/20/17 05:30:33,https://github.com/verygoodsecurity/vault/issues/2177
verygoodsecurity/vault,Issue,2175,mjallday,Missing Log Entries,open,11/17/17 16:42:28,11/23/17 11:02:29,https://github.com/verygoodsecurity/vault/issues/2175
verygoodsecurity/vault,Issue,2174,mjallday,Client IP Appears Incorrect for Logging,open,11/17/17 13:59:45,12/04/17 08:11:07,https://github.com/verygoodsecurity/vault/issues/2174
verygoodsecurity/vault,Issue,2169,igor-dmitriev,Permission denied after db migration,open,11/16/17 07:00:11,11/16/17 10:38:30,https://github.com/verygoodsecurity/vault/issues/2169
verygoodsecurity/vault,Issue,2168,k-sever,Incorrect migrations should fail a build,open,11/16/17 05:37:27,11/16/17 05:37:27,https://github.com/verygoodsecurity/vault/issues/2168
verygoodsecurity/vault,Issue,2164,akhon,Enhance Deploy Notification Messages,open,11/15/17 13:09:57,11/16/17 00:56:43,https://github.com/verygoodsecurity/vault/issues/2164
verygoodsecurity/vault,Issue,2163,k-sever,Wrong logging context when auth fails,open,11/15/17 07:03:44,11/15/17 07:08:05,https://github.com/verygoodsecurity/vault/issues/2163
verygoodsecurity/vault,Issue,2159,mjallday,DecodingException: Unrecognized character,open,11/14/17 16:52:00,11/14/17 16:52:00,https://github.com/verygoodsecurity/vault/issues/2159
verygoodsecurity/vault,Issue,2158,mjallday,API Exposes Internals,open,11/14/17 16:48:52,11/14/17 16:48:52,https://github.com/verygoodsecurity/vault/issues/2158
verygoodsecurity/vault,Issue,2155,zdmytriv,"Rollbar: Kinesis error ""Skipping over the following data records""",open,11/14/17 03:55:43,11/14/17 03:55:43,https://github.com/verygoodsecurity/vault/issues/2155
verygoodsecurity/vault,Issue,2152,zdmytriv,Rollbar: cached plan must not change result type,open,11/13/17 14:44:49,11/13/17 14:44:49,https://github.com/verygoodsecurity/vault/issues/2152
verygoodsecurity/vault,Issue,2150,zdmytriv,AmazonKinesisException InternalFailure,open,11/13/17 09:47:45,12/18/17 14:00:54,https://github.com/verygoodsecurity/vault/issues/2150
verygoodsecurity/vault,Issue,2147,yuriyshafranyuk1,Multiple inner clients in Zip client,open,11/13/17 05:01:11,11/13/17 05:01:11,https://github.com/verygoodsecurity/vault/issues/2147
verygoodsecurity/vault,Issue,2137,yyunikov,Internal API's should be secured with auth mechanism,open,11/08/17 03:52:09,02/13/18 13:37:43,https://github.com/verygoodsecurity/vault/issues/2137
verygoodsecurity/vault,Issue,2133,k-sever,Prohibit proxying requests to itself,open,11/03/17 08:36:34,11/03/17 14:03:27,https://github.com/verygoodsecurity/vault/issues/2133
verygoodsecurity/vault,Issue,2123,k-sever,Remove `ptgOverridden` and `publicTokenGenerator` preferences support,open,11/02/17 09:29:22,11/02/17 09:40:42,https://github.com/verygoodsecurity/vault/issues/2123
verygoodsecurity/vault,Issue,2116,k-sever,JsonPath validation error,open,10/31/17 15:05:49,10/31/17 15:06:27,https://github.com/verygoodsecurity/vault/issues/2116
verygoodsecurity/vault,Issue,2109,k-sever,Record deployments in NewRelic,open,10/26/17 12:54:33,10/26/17 14:35:01,https://github.com/verygoodsecurity/vault/issues/2109
verygoodsecurity/vault,Issue,2104,zdmytriv,Rework MultiTenantConnectionProvider to swap schema not datasources per tenant,open,10/25/17 11:04:16,11/13/17 04:26:26,https://github.com/verygoodsecurity/vault/issues/2104
verygoodsecurity/vault,Issue,2101,viacheslav-fomin-main,Dynamic operation pipeline,open,10/24/17 11:57:53,10/24/17 11:57:53,https://github.com/verygoodsecurity/vault/issues/2101
verygoodsecurity/vault,Issue,2095,k-sever,PDF redactor metric,open,10/23/17 13:13:11,03/09/18 07:20:51,https://github.com/verygoodsecurity/vault/issues/2095
verygoodsecurity/vault,Issue,2073,yyunikov,APIs for JWT tokens management per tenant for proxy,open,10/20/17 03:57:27,02/13/18 13:37:42,https://github.com/verygoodsecurity/vault/issues/2073
verygoodsecurity/vault,Issue,2072,yyunikov,POC for 3rd party apps authentication,open,10/20/17 03:41:55,02/13/18 13:37:41,https://github.com/verygoodsecurity/vault/issues/2072
verygoodsecurity/vault,Issue,2071,yyunikov,Proxy authentication using JWT tokens,open,10/20/17 03:28:22,02/13/18 13:37:41,https://github.com/verygoodsecurity/vault/issues/2071
verygoodsecurity/vault,Issue,2050,zdmytriv,Rollbar: Pdf refaction failed,open,10/15/17 13:34:46,11/06/17 09:37:05,https://github.com/verygoodsecurity/vault/issues/2050
verygoodsecurity/vault,Issue,2048,zdmytriv,"SFTP smoke tests fails with ""FileNotFoundError: [Errno 2] No such file""",open,10/12/17 00:17:54,11/15/17 17:09:35,https://github.com/verygoodsecurity/vault/issues/2048
verygoodsecurity/vault,Issue,2045,k-sever,ISO 8583 tcp proxy,open,10/11/17 10:20:50,10/12/17 15:14:30,https://github.com/verygoodsecurity/vault/issues/2045
verygoodsecurity/vault,Issue,2038,akhon,Upgrade rolbar-java version to latest,open,10/07/17 09:43:26,01/10/18 01:06:23,https://github.com/verygoodsecurity/vault/issues/2038
verygoodsecurity/vault,Issue,2037,mjallday,PDF Client Errors,open,10/07/17 09:16:11,01/25/18 01:57:27,https://github.com/verygoodsecurity/vault/issues/2037
verygoodsecurity/vault,Issue,2035,mjallday,Prepare to Split Libraries and Services,open,10/07/17 03:36:02,10/07/17 09:18:46,https://github.com/verygoodsecurity/vault/issues/2035
verygoodsecurity/vault,Issue,2034,mjallday,Split out Genpop Act Mgmt,open,10/07/17 03:33:05,10/07/17 03:33:05,https://github.com/verygoodsecurity/vault/issues/2034
verygoodsecurity/vault,Issue,2032,mjallday,Evaluate Cache Refreshes,open,10/07/17 03:24:56,07/09/18 18:11:50,https://github.com/verygoodsecurity/vault/issues/2032
verygoodsecurity/vault,Issue,2025,mjallday,Object Mapper,open,10/06/17 03:46:21,11/13/17 13:48:20,https://github.com/verygoodsecurity/vault/issues/2025
verygoodsecurity/vault,Issue,2017,yuriyshafranyuk1,Use snake_case for all model in account management,open,10/04/17 07:40:27,10/31/17 08:15:45,https://github.com/verygoodsecurity/vault/issues/2017
verygoodsecurity/vault,Issue,2012,mjallday,WebSocket Compatibility,open,10/03/17 12:25:54,10/03/17 12:25:54,https://github.com/verygoodsecurity/vault/issues/2012
verygoodsecurity/vault,Issue,2008,k-sever,Re-tokenize when token format changes,open,10/02/17 11:00:07,10/02/17 11:00:07,https://github.com/verygoodsecurity/vault/issues/2008
verygoodsecurity/vault,Issue,2004,igor-dmitriev,Import TokenManagerConfig explicitly,open,10/02/17 04:38:40,10/02/17 04:38:40,https://github.com/verygoodsecurity/vault/issues/2004
verygoodsecurity/vault,Issue,2000,k-sever,PDF redaction config should have pdf-redactor lib version specified,open,09/29/17 11:14:14,11/13/17 13:52:17,https://github.com/verygoodsecurity/vault/issues/2000
